2020-08-17 09:37:26.125 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Collection]
2020-08-17 09:37:26.125 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Column$1]
2020-08-17 09:37:26.126 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Column$Builder]
2020-08-17 09:37:26.126 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Column]
2020-08-17 09:37:26.126 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$CreateView$1]
2020-08-17 09:37:26.127 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$CreateView$Builder]
2020-08-17 09:37:26.127 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$CreateView]
2020-08-17 09:37:26.128 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Delete$1]
2020-08-17 09:37:26.128 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Delete$Builder]
2020-08-17 09:37:26.128 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Delete]
2020-08-17 09:37:26.129 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$DropView$1]
2020-08-17 09:37:26.129 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$DropView$Builder]
2020-08-17 09:37:26.129 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$DropView]
2020-08-17 09:37:26.130 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Find$1]
2020-08-17 09:37:26.130 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Find$Builder]
2020-08-17 09:37:26.131 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Find]
2020-08-17 09:37:26.131 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Insert$1]
2020-08-17 09:37:26.132 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Insert$Builder]
2020-08-17 09:37:26.132 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Insert$TypedRow$1]
2020-08-17 09:37:26.132 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Insert$TypedRow$Builder]
2020-08-17 09:37:26.133 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Insert$TypedRow]
2020-08-17 09:37:26.133 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Insert]
2020-08-17 09:37:26.133 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Limit$1]
2020-08-17 09:37:26.134 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Limit$Builder]
2020-08-17 09:37:26.134 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$Limit]
2020-08-17 09:37:26.134 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$LimitExpr$1]
2020-08-17 09:37:26.135 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$LimitExpr$Builder]
2020-08-17 09:37:26.135 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$LimitExpr]
2020-08-17 09:37:26.136 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.AbstractParser] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$ModifyView$1]
2020-08-17 09:37:26.136 DEBUG [  restartedMain] [  o.s.c.type.filter.AnnotationTypeFilter] [     match,89] : Could not read super class [com.google.protobuf.GeneratedMessageV3$Builder] of type-filtered class [com.mysql.cj.x.protobuf.MysqlxCrud$ModifyView$Builder]
